stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
600000.SH,浦发银行,SSE,金融业,600000.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600004.SH,白云机场,SSE,交通运输、仓储和邮政业,600004.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600006.SH,东风股份,SSE,制造业,600006.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600007.SH,中国国贸,SSE,房地产业,600007.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600008.SH,首创环保,SSE,电力、热力、燃气及水生产和供应业,600008.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600009.SH,上海机场,SSE,交通运输、仓储和邮政业,600009.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600010.SH,包钢股份,SSE,制造业,600010.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600011.SH,华能国际,SSE,电力、热力、燃气及水生产和供应业,600011.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600012.SH,皖通高速,SSE,交通运输、仓储和邮政业,600012.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600015.SH,华夏银行,SSE,金融业,600015.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600016.SH,民生银行,SSE,金融业,600016.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600017.SH,日照港,SSE,交通运输、仓储和邮政业,600017.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600018.SH,上港集团,SSE,交通运输、仓储和邮政业,600018.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600019.SH,宝钢股份,SSE,制造业,600019.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600020.SH,中原高速,SSE,交通运输、仓储和邮政业,600020.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600021.SH,上海电力,SSE,电力、热力、燃气及水生产和供应业,600021.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600022.SH,山东钢铁,SSE,制造业,600022.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600023.SH,浙能电力,SSE,电力、热力、燃气及水生产和供应业,600023.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600025.SH,华能水电,SSE,电力、热力、燃气及水生产和供应业,600025.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600026.SH,中远海能,SSE,交通运输、仓储和邮政业,600026.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600027.SH,华电国际,SSE,电力、热力、燃气及水生产和供应业,600027.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600028.SH,中国石化,SSE,采矿业,600028.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600029.SH,南方航空,SSE,交通运输、仓储和邮政业,600029.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
