batch_task_rank,batch_action,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
1,inspect_esg_tables,1,99.322917,41,271,230,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00002.HK,CLP HOLDINGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
2,inspect_esg_tables,2,99.322917,47,360,313,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00003.HK,HK & CHINA GAS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
3,inspect_esg_tables,3,99.322917,52,437,385,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00006.HK,POWER ASSETS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
4,inspect_esg_tables,4,99.322917,104,294,190,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,000096.SZ,广聚能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
5,inspect_esg_tables,6,99.322917,190,477,287,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,000554.SZ,泰山石油,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
6,inspect_esg_tables,7,99.322917,152,416,264,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,000682.SZ,东方电子,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
7,inspect_esg_tables,9,99.322917,135,318,183,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,001208.SZ,华菱线缆,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
8,inspect_esg_tables,10,99.322917,117,260,143,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,001258.SZ,立新能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
9,inspect_esg_tables,11,99.322917,107,242,135,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,001299.SZ,美能能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
10,inspect_esg_tables,12,99.322917,146,327,181,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00182.HK,CONCORD NE,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
